antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'KEGS', 'STR_SUPPLIES'})","frozenset({'WINE', 'LIQUOR'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'WINE', 'LIQUOR'})","frozenset({'KEGS', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'WINE', 'STR_SUPPLIES'})","frozenset({'KEGS', 'LIQUOR'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'REF', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'KEGS', 'WINE'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'KEGS', 'WINE', 'LIQUOR'})","frozenset({'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'KEGS', 'WINE', 'STR_SUPPLIES'})","frozenset({'LIQUOR', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'KEGS', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'WINE', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'NON-ALCOHOL', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'KEGS', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'REF', 'KEGS', 'WINE', 'LIQUOR'})","frozenset({'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'REF', 'KEGS', 'WINE', 'STR_SUPPLIES'})","frozenset({'LIQUOR', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'REF', 'KEGS', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'WINE', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'REF', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'KEGS', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'BEER', 'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'REF', 'NON-ALCOHOL'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'NON-ALCOHOL', 'REF', 'KEGS', 'WINE', 'LIQUOR'})","frozenset({'BEER', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'NON-ALCOHOL', 'REF', 'KEGS', 'WINE', 'STR_SUPPLIES'})","frozenset({'LIQUOR', 'BEER'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'NON-ALCOHOL', 'REF', 'KEGS', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'WINE', 'BEER'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'NON-ALCOHOL', 'REF', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'KEGS', 'BEER'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'NON-ALCOHOL', 'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'REF', 'BEER'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'REF', 'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'BEER', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'REF', 'BEER', 'NON-ALCOHOL'})","frozenset({'WINE', 'LIQUOR', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'REF', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'LIQUOR', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'LIQUOR', 'REF', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'STR_SUPPLIES', 'REF', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'LIQUOR'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'BEER', 'NON-ALCOHOL'})","frozenset({'LIQUOR', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'LIQUOR', 'BEER', 'NON-ALCOHOL'})","frozenset({'WINE', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'STR_SUPPLIES', 'BEER', 'NON-ALCOHOL'})","frozenset({'WINE', 'LIQUOR', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'STR_SUPPLIES', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'LIQUOR', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'STR_SUPPLIES', 'LIQUOR', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'REF', 'BEER'})","frozenset({'LIQUOR', 'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'LIQUOR', 'REF', 'BEER'})","frozenset({'WINE', 'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'REF', 'BEER', 'STR_SUPPLIES'})","frozenset({'WINE', 'LIQUOR', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR', 'REF', 'BEER'})","frozenset({'KEGS', 'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'REF', 'BEER', 'STR_SUPPLIES'})","frozenset({'KEGS', 'LIQUOR', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'LIQUOR', 'REF', 'BEER', 'STR_SUPPLIES'})","frozenset({'KEGS', 'WINE', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'LIQUOR', 'BEER'})","frozenset({'REF', 'STR_SUPPLIES', 'NON-ALCOHOL'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'BEER', 'STR_SUPPLIES'})","frozenset({'LIQUOR', 'REF', 'NON-ALCOHOL'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'LIQUOR', 'BEER', 'STR_SUPPLIES'})","frozenset({'WINE', 'REF', 'NON-ALCOHOL'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR', 'BEER', 'STR_SUPPLIES'})","frozenset({'KEGS', 'REF', 'NON-ALCOHOL'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'REF', 'NON-ALCOHOL'})","frozenset({'LIQUOR', 'BEER', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'LIQUOR', 'REF', 'NON-ALCOHOL'})","frozenset({'WINE', 'BEER', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'REF', 'STR_SUPPLIES', 'NON-ALCOHOL'})","frozenset({'WINE', 'LIQUOR', 'BEER'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR', 'REF', 'NON-ALCOHOL'})","frozenset({'KEGS', 'BEER', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'REF', 'STR_SUPPLIES', 'NON-ALCOHOL'})","frozenset({'KEGS', 'LIQUOR', 'BEER'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'LIQUOR', 'REF', 'STR_SUPPLIES', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'BEER'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'LIQUOR', 'NON-ALCOHOL'})","frozenset({'REF', 'BEER', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'STR_SUPPLIES', 'NON-ALCOHOL'})","frozenset({'LIQUOR', 'REF', 'BEER'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'LIQUOR', 'STR_SUPPLIES', 'NON-ALCOHOL'})","frozenset({'WINE', 'REF', 'BEER'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR', 'STR_SUPPLIES', 'NON-ALCOHOL'})","frozenset({'KEGS', 'REF', 'BEER'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'LIQUOR', 'REF'})","frozenset({'STR_SUPPLIES', 'BEER', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'REF', 'STR_SUPPLIES'})","frozenset({'LIQUOR', 'BEER', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
